Timestamp,Program Studi,Tahun Masuk UIN Jakarta,Tahun Wisuda,Bulan Wisuda,Status saat ini,Waktu Mendapatkan Pekerjaan,Perusahaan,Posisi,Tahun Wirausaha,Bidang wirausaha,Penghasilan,Tahun Masuk S2,Universitas S2,Tahun Masuk S3,Universitas S3,Nama Prodi S2/S3,Kesesuaian Kurikulum,Kesesuaian Bidang Ilmu,Saran
7/2/2024 11:58,Prodi Biologi,2017,2022,Juni,Karyawan Swasta,4,PT. Bumi Pangan Utama,Staff Analis Mikrobiologi,,,4000000,,,,,,3,5,"Mahasiswa diarahkan untuk banyak mengikuti kegiatan magang dan pelatihan di luar jam kampus serta seminar online untuk mengasah keilmuan mahasiswa di bidang biologi, perbanyak praktikum dan studi banding ke laboratorium eksternal"
7/2/2024 12:08,Prodi Kimia,2019,2024,Februari,Karyawan Swasta,2,PT. L'essential,Staff QC,,,5000000,,,,,,4,4,semoga prodi kimia banyak menjalin kerjasama dengan perusahaan
7/2/2024 12:09,Prodi Biologi,2017,2023,November,Melamar Pekerjaan,,,,,,,,,,,,4,4,
7/2/2024 12:10,Prodi Biologi,2018,2022,Januari,melanjutkan studi,,,,,,,2023,IPB,,,Agronomi dan Hortikultura,5,5,Kesan : pelayanan administrasi cepat
7/2/2024 12:11,Prodi Biologi,2017,2021,Februari,Researcher,3,Badan Riset dan Inovasi Nasional,Research Assistant,,,3500000,,,,,,5,5,
7/2/2024 12:12,Prodi Biologi,2019,2023,November,Melamar Pekerjaan,,,,,,,,,,,,4,4,
7/2/2024 12:13,Prodi Biologi,2017,2023,Februari,Pengajar,2,Yayasan Pendidikan Harapan,Guru Tidak Tetap (GTT),,,2000000,,,,,,3,3,Semoga semakin baik lagi sarana dan prasarana di prodi kita untuk menunjang para mahasiswa prodi biologi
7/2/2024 12:18,Prodi Biologi,2017,2022,Februari,Internship,1,PT Kurnia Ciptamoda Gemilang,Internship Staff,,,2000000,,,,,,3,1,
7/2/2024 12:24,Prodi Biologi,2017,2021,Februari,melanjutkan studi,,,,,,,2022,Universitas Andalas,,,Magister Biologi ,5,5,
7/2/2024 12:40,Prodi Biologi,2017,2024,Juni,Melamar Pekerjaan,,,,,,,,,,,,4,3,
7/2/2024 13:13,Prodi Biologi,2017,2022,Agustus,Karyawan Swasta,6,PT Propertindo Jaya Bersama,Administrasi,,,4000000,,,,,,1,1,"Kesan di prodi Biology itu seru banget. Saran nya Biologi di UIN supaya lebih seru dalam hal perkembangan teknologi maupun sains nya lebih abdet, slalu memberi arahan, dukungan & motivasi mahasiswa/I nya biar semakin semangattt untuk mudah berkarir di bidang nya..

Biology UIN Jakarta aku yakin semakin Keren dan meluluskan mahasiswa/I yg sangat berprestasi Dan mengharumkan nama Kampus dan Indonesia aamiin"
7/2/2024 13:17,Prodi Biologi,2017,2024,Agustus,,1,,,,,,,,,,,2,3,
7/2/2024 13:22,Prodi Biologi,2019,2023,November,melanjutkan studi,5,Badan gizi nasional ,Kepala unit pelayanan (sementara ini),,,8000000,,,,,,4,4,Saran pengembangan fasilitas di fakultas biologi dan pemeliharaan kebersihan seperti toilet
7/2/2024 13:24,Prodi Biologi,2016,2021,Februari,melanjutkan studi,,,,2021,Bisnis souvenir custom CD album (shopee: pinahouse studio),,2021,IPB,,,Biosains Hewan,4,4,
7/2/2024 13:24,Prodi Biologi,2018,2023,Juni,Karyawan Swasta,1,Nurul Fikri,Staf,,,,,,,,,1,1,
7/2/2024 13:32,Prodi Matematika,2015,2021,Mei,Karyawan Swasta,6,PT BRI Asuransi Indonesia,Adjuster Claim Analyst,,,6200000,,,,,,4,4,dunia insurance masih sangat membutuhkan aktuaris
7/2/2024 13:38,Prodi Kimia,2019,2023,November,Karyawan Swasta,6,PT. Fin Centerindo Satu,Staff Administrasi,,,5000000,,,,,,1,1,
7/2/2024 13:40,Prodi Biologi,2017,2021,Agustus,Karyawan Swasta,13,PT AJE INDONESIA,Account Payable staff,,,5000000,,,,,,3,3,
7/2/2024 13:48,Prodi Kimia,2017,2024,Agustus,Pengajar,3,,,,,3000000,,,,,,5,5,Sudah baik dan selalu baik terus kedepannya 
7/2/2024 13:48,Prodi Kimia,2017,2023,Mei,Pengajar,1,,,,,2000000,,,,,,3,2,"Untuk alumni atau yang baru lulus, bisa membuat grup untuk info mengenai pekerjaan atau apapun."
7/2/2024 14:04,Prodi Biologi,2017,2022,Februari,Karyawan Swasta,6,PT Elike Bisnis Indonesia,Admin E-Commerce Staff,,,,,,,,,3,3,
7/2/2024 16:11,Prodi Biologi,2018,2024,Februari,Internship,3,Sunday Insurance,Admin aftersales,,,,,,,,,4,1,
7/2/2024 16:18,Prodi Kimia,2019,2023,November,Melamar Pekerjaan,,,,,,,,,,,,5,5,
7/2/2024 16:42,Prodi Biologi,2018,2023,Februari,Karyawan Swasta,2,PT. Diagnos laboratorium utama,Staff genomic ,,,6000000,,,,,,4,3,Dibeberapa mata kuliah mungkin dijelaskan kembali apa saja target per semester atau silabus
7/2/2024 16:45,Prodi Biologi,2017,2022,Juni,Karyawan Swasta,1,PT Saka Uniti Indonesia,Human Capital Officer,,,,,,,,,3,2,
7/2/2024 17:24,Prodi Biologi,2018,2023,Februari,Melamar Pekerjaan,1,,,,,,,,,,,3,3,Diberikan rekomendasi saat perkuliahan sebagai bekal untuk melanjutkan pekerjaan
7/2/2024 17:36,Prodi Biologi,2016,2020,November,Karyawan Swasta,2,PT. Innolab Sains Internasional,Laboratory Analyst Genomic,,,6000000,,,,,,4,5,
7/2/2024 18:03,Prodi Biologi,2016,2022,Februari,Karyawan Swasta,1,PT. Flexylabs Instrument Indonesia,Application specialist,,,6000000,,,,,,3,3,
7/2/2024 18:14,Prodi Biologi,2018,2023,Februari,Karyawan Swasta,3,Dexa Medica (Dexa Group),,,,,,,,,,3,4,Sukses selalu prodi biologi UIN Jakarta 
7/2/2024 18:40,Prodi Biologi,2018,2023,Februari,Pengajar,3,Sekolah Islam Alfayyadh Indonesia,Pengajar,,,2000000,,,,,,4,4,
7/2/2024 22:13,Prodi Biologi,2019,2024,Februari,Karyawan Swasta,1,PT. Periplus Bookindo,Assistant Store Manager,,,6700000,,,,,,2,1,semoga kedepannya menjadi akses untuk membuka lapangan pekerjaan dengan bidang sesuai
7/3/2024 6:43,Prodi Teknik Pertambangan,2019,2023,Februari,Melamar Pekerjaan,,,,,,,,,,,,5,5,"1. meningkatkan kerja sama dengan perusahaan pertambangan untuk membuka peluang penelitian bagi mahasiswa dan membuka peluang pekerjaan bagi para alumni.

2. Menyediakan bimbingan karir dan pelatihan soft skills untuk mempersiapkan mahasiswa memasuki dunia kerja."
7/3/2024 6:59,Prodi Teknik Pertambangan,2019,2024,Januari,Internship,5,,,,,,,,,,,5,5,membuat pelatihan berstandar nasional dibawah pemerintah
7/3/2024 7:34,Prodi Teknik Pertambangan,2019,2024,Februari,Karyawan Swasta,1,PY JAMBI RESOURCES,JR Mine Plan Engineer,,,7000000,,,,,,5,5,
7/3/2024 8:09,Prodi Teknik Pertambangan,2019,2023,Februari,Melamar Pekerjaan,,,,,,,,,,,,4,4,"Saran, dari prodi membuka kesempatan bekerja sama dengan perusahaan perusahaan tambang, tidak harus perusahaan yang besar, yang nantinya dapat bekerja sama, sehingga mahasiswa yang ingin KP atau Tugas Akhir bisa berkesempatan pula bergabung di perusahaan tersebut, karena ada beberapa mahasiswa tambang kesulitan dalam mencari perusahaan untuk KP atau Tugas Akhir. Serta mahasiswa yang telah menyelesaikan studi nya dari kampus dapat ditarik dan bekerja di perusahaan tersebut. 

Kesan, senang dapat berkesempatan menjadi bagian mahasiswa tambang UIN banyak kegiatan kegiatan positif mulai dari berhimpun, melaksanakan kegiatan kuliah lapangan, dan banyak lainnya. 

Komentar, untuk kurikulum atau silabus Perencanaan Tambang diusahakan untuk belajar penggunaan software Minescape, Spray, dan software lainnya yang belum dipelajari di kampus. "
